Season,Week,Date,Team,Opponent,PointsSurrendered,TouchdownsScored,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnTouchdowns,KickReturnLong
2010,1,9/12/2010 4:15:00 PM,ARI,STL,13,0,58,1,2,13,5,2,2,0,0,3,69,0,1,0,5,31,0,9,3,82,0,31
2010,1,9/12/2010 1:00:00 PM,ATL,PIT,15,0,45,23,3,25,4,0,0,0,0,1,1,0,0,0,2,20,0,14,4,82,0,22
2010,1,9/13/2010 7:00:00 PM,BAL,NYJ,9,0,28,11,2,14,1,2,1,0,0,0,0,0,0,0,4,5,0,10,4,72,0,23
2010,1,9/12/2010 1:00:00 PM,BUF,MIA,15,0,52,38,3,18,5,0,0,-1,0,0,0,0,0,0,3,30,0,19,1,11,0,11
2010,1,9/12/2010 1:00:00 PM,CAR,NYG,31,0,49,19,1,5,5,1,1,-10,0,3,33,0,1,1,2,38,0,28,7,172,0,45
2010,1,9/12/2010 1:00:00 PM,CHI,DET,14,0,41,6,2,23,3,2,2,9,0,1,7,0,0,0,5,17,0,9,3,70,0,30
2010,1,9/12/2010 1:00:00 PM,CIN,NE,38,0,43,18,0,0,2,0,0,-2,0,0,0,0,0,0,0,0,0,0,4,70,0,19
2010,1,9/12/2010 1:00:00 PM,CLE,TB,17,0,46,19,3,13,7,1,2,1,0,1,26,0,0,0,3,29,0,15,4,57,0,18
2010,1,9/12/2010 8:20:00 PM,DAL,WAS,13,0,39,14,1,10,3,1,0,0,0,0,0,0,0,0,1,11,0,11,3,50,0,21
2010,1,9/12/2010 1:00:00 PM,DEN,JAX,24,0,42,4,1,5,1,0,0,0,0,0,0,0,0,0,1,4,0,4,3,62,0,25
2010,1,9/12/2010 1:00:00 PM,DET,CHI,19,0,56,4,4,10,3,4,3,10,0,1,23,0,0,0,2,3,0,3,3,68,0,32
2010,1,9/12/2010 4:15:00 PM,GB,PHI,20,0,41,4,6,28,7,2,1,0,0,0,0,0,0,0,1,10,0,10,5,156,0,51
2010,1,9/12/2010 1:00:00 PM,HOU,IND,24,0,44,21,2,15,5,1,1,3,0,0,0,0,0,0,1,39,0,39,3,79,0,33
2010,1,9/12/2010 1:00:00 PM,IND,HOU,34,0,41,29,2,9,5,0,0,0,0,1,19,0,0,0,1,13,0,13,7,155,0,26
2010,1,9/12/2010 1:00:00 PM,JAX,DEN,17,0,41,9,3,22,6,1,1,0,0,1,8,0,0,0,3,26,0,17,4,137,0,53
2010,1,9/13/2010 10:15:00 PM,KC,SD,14,1,46,16,1,8,8,1,2,23,0,0,0,0,0,0,5,160,1,94,3,59,0,26
2010,1,9/12/2010 1:00:00 PM,MIA,BUF,10,0,35,14,3,23,7,0,0,0,0,0,0,0,0,1,2,9,0,6,2,27,0,15
2010,1,9/9/2010 8:30:00 PM,MIN,NO,14,0,48,12,1,8,6,0,1,0,0,0,0,0,0,0,2,2,0,2,2,41,0,22
2010,1,9/12/2010 1:00:00 PM,NE,CIN,24,2,54,23,1,4,6,1,1,0,0,1,59,1,0,0,1,4,0,4,4,184,1,97
2010,1,9/9/2010 8:30:00 PM,NO,MIN,9,0,38,16,1,9,6,0,0,0,0,1,5,0,1,0,3,7,0,6,3,70,0,25
2010,1,9/12/2010 1:00:00 PM,NYG,CAR,18,0,41,17,4,34,9,2,2,0,0,3,0,0,0,0,4,27,0,11,5,67,0,22
2010,1,9/13/2010 7:00:00 PM,NYJ,BAL,10,0,52,21,2,15,7,2,3,2,0,1,66,0,0,0,4,62,0,32,2,49,0,32
2010,1,9/12/2010 1:00:00 PM,OAK,TEN,38,0,46,15,2,14,2,2,2,13,0,0,0,0,0,0,3,22,0,10,5,105,0,25
2010,1,9/12/2010 4:15:00 PM,PHI,GB,27,0,44,5,3,21,4,0,0,0,0,2,28,0,0,0,2,14,0,10,4,93,0,33
2010,1,9/12/2010 1:00:00 PM,PIT,ATL,9,0,47,24,2,15,4,0,0,0,0,1,1,0,0,0,2,7,0,7,1,23,0,23
2010,1,9/13/2010 10:15:00 PM,SD,KC,21,0,33,5,1,6,3,0,0,-6,0,0,0,0,0,0,5,33,0,13,2,32,0,19
2010,1,9/12/2010 4:15:00 PM,SEA,SF,6,1,45,12,2,11,7,1,0,0,0,2,52,1,0,0,3,17,0,12,2,58,0,41
2010,1,9/12/2010 4:15:00 PM,SF,SEA,31,0,39,8,1,5,1,0,0,0,0,1,7,0,0,0,2,27,0,16,4,67,0,30
2010,1,9/12/2010 4:15:00 PM,STL,ARI,17,0,42,0,2,31,3,5,4,61,0,0,0,0,0,0,3,28,0,17,3,73,0,34
2010,1,9/12/2010 1:00:00 PM,TB,CLE,14,0,43,10,0,0,5,3,1,1,0,2,64,0,0,0,4,24,0,11,2,50,0,30
2010,1,9/12/2010 1:00:00 PM,TEN,OAK,13,0,51,20,4,30,7,3,1,0,0,1,32,0,0,0,3,21,0,12,3,70,0,28
2010,1,9/12/2010 8:20:00 PM,WAS,DAL,7,1,52,22,1,5,8,1,1,20,1,0,0,0,0,0,0,0,0,0,2,76,0,42
2010,2,9/19/2010 1:00:00 PM,ARI,ATL,41,0,57,5,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,5,91,0,26
2010,2,9/19/2010 1:00:00 PM,ATL,ARI,7,0,32,7,2,15,7,1,0,0,0,3,84,0,0,0,1,17,0,17,2,64,0,34
2010,2,9/19/2010 1:00:00 PM,BAL,CIN,15,0,32,26,1,8,6,0,1,0,0,0,0,0,0,0,5,31,0,20,3,92,0,39
2010,2,9/19/2010 1:00:00 PM,BUF,GB,34,0,42,13,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,7,192,0,41
2010,2,9/19/2010 1:00:00 PM,CAR,TB,20,0,43,7,0,0,4,0,0,-1,0,0,0,0,0,0,4,8,0,4,5,92,0,43
2010,2,9/19/2010 1:00:00 PM,CHI,DAL,20,0,46,8,0,0,7,1,1,0,0,2,38,0,0,0,1,-5,0,0,3,85,0,42
2010,2,9/19/2010 1:00:00 PM,CIN,BAL,10,0,27,24,1,4,9,1,0,0,0,4,44,0,0,0,2,6,0,6,1,60,0,60
2010,2,9/19/2010 1:00:00 PM,CLE,KC,16,0,53,15,1,4,5,0,0,0,0,2,1,0,0,0,1,5,0,5,5,50,0,19
2010,2,9/19/2010 1:00:00 PM,DAL,CHI,27,1,34,2,1,7,2,0,0,0,0,0,0,0,0,0,3,66,1,62,4,107,0,40
2010,2,9/19/2010 4:05:00 PM,DEN,SEA,14,0,35,10,1,4,5,0,1,0,0,3,13,0,0,0,2,2,0,3,1,11,0,11
2010,2,9/19/2010 1:00:00 PM,DET,PHI,35,0,38,18,5,36,4,1,0,0,0,0,0,0,0,0,3,34,0,17,5,109,0,27
2010,2,9/19/2010 1:00:00 PM,GB,BUF,7,0,44,16,4,40,3,0,0,0,0,2,9,0,0,0,3,22,0,9,2,61,0,34
2010,2,9/19/2010 4:15:00 PM,HOU,WAS,27,0,38,16,3,23,5,0,0,0,0,0,0,0,1,0,4,28,0,13,6,88,0,25
2010,2,9/19/2010 8:20:00 PM,IND,NYG,14,1,41,13,4,24,4,3,2,1,1,1,0,0,0,0,3,24,0,12,2,40,0,20
2010,2,9/19/2010 4:15:00 PM,JAX,SD,38,0,46,17,1,8,2,1,1,0,0,2,8,0,1,0,0,0,0,0,6,112,0,29
2010,2,9/19/2010 1:00:00 PM,KC,CLE,14,1,38,10,1,3,1,1,1,0,0,1,33,1,0,0,4,6,0,4,3,58,0,20
2010,2,9/19/2010 1:00:00 PM,MIA,MIN,10,1,51,22,3,17,8,1,1,0,1,3,17,0,0,0,0,0,0,0,2,37,0,19
2010,2,9/19/2010 1:00:00 PM,MIN,MIA,14,0,37,12,2,8,2,2,3,3,0,0,0,0,0,0,3,14,0,14,2,44,0,22
2010,2,9/19/2010 4:15:00 PM,NE,NYJ,28,0,48,13,3,20,0,0,0,0,0,0,0,0,0,0,2,26,0,15,5,123,0,31
2010,2,9/20/2010 8:30:00 PM,NO,SF,22,0,38,12,0,0,5,2,3,0,0,2,11,0,0,1,3,43,0,43,4,90,0,35
2010,2,9/19/2010 8:20:00 PM,NYG,IND,38,0,56,17,1,5,1,1,1,0,0,0,0,0,0,0,1,3,0,3,2,25,0,18
2010,2,9/19/2010 4:15:00 PM,NYJ,NE,14,0,38,10,1,9,7,1,1,16,0,2,0,0,0,0,2,11,0,7,2,30,0,15
2010,2,9/19/2010 4:05:00 PM,OAK,STL,14,0,27,9,3,32,3,0,1,0,0,1,0,0,0,0,3,54,0,53,3,61,0,21
2010,2,9/19/2010 1:00:00 PM,PHI,DET,32,0,46,8,2,6,10,1,0,-1,0,2,0,0,0,0,3,15,0,13,4,66,0,22
2010,2,9/19/2010 1:00:00 PM,PIT,TEN,11,1,49,15,4,23,4,6,4,-7,0,3,8,0,0,0,4,33,0,21,2,115,1,89
2010,2,9/19/2010 4:15:00 PM,SD,JAX,13,0,50,13,2,14,9,2,2,15,0,4,25,0,0,0,0,0,0,0,3,56,0,26
2010,2,9/19/2010 4:05:00 PM,SEA,DEN,31,0,56,9,1,3,2,1,0,0,0,0,0,0,0,0,3,82,0,63,1,13,0,13
2010,2,9/20/2010 8:30:00 PM,SF,NO,25,0,43,16,2,17,3,0,0,-15,0,0,0,0,0,0,4,29,0,16,4,63,0,20
2010,2,9/19/2010 4:05:00 PM,STL,OAK,16,0,47,13,2,18,7,2,0,0,0,2,16,0,0,0,1,0,0,0,5,118,0,30
2010,2,9/19/2010 1:00:00 PM,TB,CAR,7,0,44,14,4,25,3,1,1,5,0,2,26,0,0,0,2,21,0,23,1,18,0,18
2010,2,9/19/2010 1:00:00 PM,TEN,PIT,19,0,44,21,4,21,3,1,1,-3,0,0,0,0,0,0,3,43,0,38,4,97,0,34
2010,2,9/19/2010 4:15:00 PM,WAS,HOU,30,0,50,45,5,29,8,0,0,0,0,1,5,0,0,0,0,0,0,0,4,82,0,25
2010,3,9/26/2010 4:15:00 PM,ARI,OAK,23,1,49,12,3,24,9,1,0,0,0,1,10,0,0,0,4,6,0,4,5,179,1,102
2010,3,9/26/2010 1:00:00 PM,ATL,NO,24,0,45,12,2,10,4,1,1,0,0,2,36,0,0,0,1,0,0,0,4,82,0,35
2010,3,9/26/2010 1:00:00 PM,BAL,CLE,17,0,47,20,2,10,3,0,0,0,0,0,0,0,0,0,3,24,0,17,4,85,0,28
2010,3,9/26/2010 1:00:00 PM,BUF,NE,38,1,51,29,1,7,2,1,1,0,0,0,0,0,0,0,3,9,0,6,5,189,1,95
2010,3,9/26/2010 1:00:00 PM,CAR,CIN,20,0,46,20,1,10,9,0,0,-5,0,2,40,0,0,0,0,0,0,0,3,68,0,26
2010,3,9/27/2010 8:30:00 PM,CHI,GB,17,1,47,4,0,0,4,1,1,0,0,1,1,0,1,0,3,93,1,62,3,91,0,44
2010,3,9/26/2010 1:00:00 PM,CIN,CAR,7,0,28,17,1,8,6,1,3,5,0,1,0,0,0,0,5,42,0,10,1,16,0,16
2010,3,9/26/2010 1:00:00 PM,CLE,BAL,24,0,42,16,0,0,3,0,0,-17,0,0,0,0,0,0,1,0,0,0,2,47,0,24
2010,3,9/26/2010 1:00:00 PM,DAL,HOU,13,0,47,9,4,25,5,1,1,1,0,2,-4,0,0,0,1,12,0,12,3,62,0,29
2010,3,9/26/2010 4:15:00 PM,DEN,IND,27,0,41,14,0,0,7,0,0,0,0,0,0,0,0,0,5,57,0,28,0,0,0,0
2010,3,9/26/2010 1:00:00 PM,DET,MIN,24,0,46,5,2,16,6,0,1,-4,0,2,27,0,0,0,1,0,0,0,5,142,0,35
2010,3,9/27/2010 8:30:00 PM,GB,CHI,20,0,35,1,3,22,3,1,0,0,0,1,15,0,0,0,1,10,0,10,5,97,0,40
2010,3,9/26/2010 1:00:00 PM,HOU,DAL,27,0,37,28,0,0,3,0,0,0,0,0,0,0,0,0,2,12,0,7,5,122,0,32
2010,3,9/26/2010 4:15:00 PM,IND,DEN,13,0,53,9,1,4,9,1,1,-2,0,1,44,0,0,0,1,4,0,4,1,16,0,16
2010,3,9/26/2010 4:05:00 PM,JAX,PHI,28,0,36,2,3,24,4,0,0,-7,0,0,0,0,0,0,5,62,0,41,4,67,0,25
2010,3,9/26/2010 1:00:00 PM,KC,SF,10,0,40,14,5,24,6,1,0,0,0,1,0,0,0,0,6,65,0,30,2,36,0,19
2010,3,9/26/2010 8:20:00 PM,MIA,NYJ,31,0,38,7,0,0,5,0,0,0,0,0,0,0,1,0,1,18,0,18,6,141,0,30
2010,3,9/26/2010 1:00:00 PM,MIN,DET,10,0,45,11,1,5,6,0,1,0,0,2,19,0,0,0,5,29,0,12,2,41,0,23
2010,3,9/26/2010 1:00:00 PM,NE,BUF,30,0,41,17,1,7,2,0,0,0,0,2,26,0,0,0,0,0,0,0,7,141,0,32
2010,3,9/26/2010 1:00:00 PM,NO,ATL,27,0,66,29,2,13,4,0,1,0,0,0,0,0,0,0,1,72,0,72,3,81,0,39
2010,3,9/26/2010 1:00:00 PM,NYG,TEN,29,0,48,16,1,8,1,0,0,0,0,0,0,0,0,0,2,11,0,6,3,67,0,31
2010,3,9/26/2010 8:20:00 PM,NYJ,MIA,23,0,43,9,2,11,5,1,0,0,0,1,0,0,1,0,1,8,0,8,4,150,0,54
2010,3,9/26/2010 4:15:00 PM,OAK,ARI,24,0,37,10,2,14,2,0,2,-7,0,1,-4,0,0,0,3,8,0,5,4,107,0,39
2010,3,9/26/2010 4:05:00 PM,PHI,JAX,3,0,49,2,7,53,8,0,0,0,0,1,5,0,0,0,3,31,0,12,2,59,0,46
2010,3,9/26/2010 1:00:00 PM,PIT,TB,13,1,47,7,4,23,5,1,1,5,0,1,79,1,0,0,1,8,0,8,4,84,0,25
2010,3,9/26/2010 4:15:00 PM,SD,SEA,27,0,41,2,3,17,3,1,0,0,0,1,0,0,0,1,2,23,0,13,5,132,0,33
2010,3,9/26/2010 4:15:00 PM,SEA,SD,20,2,50,19,4,26,8,3,3,0,0,2,55,0,0,0,3,44,0,31,4,253,2,101
2010,3,9/26/2010 1:00:00 PM,SF,KC,31,0,48,5,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,65,0,30
2010,3,9/26/2010 4:05:00 PM,STL,WAS,16,0,34,6,1,3,6,1,1,49,0,1,4,0,1,0,2,21,0,21,3,57,0,26
2010,3,9/26/2010 1:00:00 PM,TB,PIT,38,0,37,11,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,6,133,0,37
2010,3,9/26/2010 1:00:00 PM,TEN,NYG,10,0,55,19,2,22,7,1,1,0,0,2,-6,0,0,1,0,0,0,0,3,74,0,45
2010,3,9/26/2010 4:05:00 PM,WAS,STL,30,0,58,8,1,3,6,1,1,0,0,1,5,0,1,0,2,1,0,1,6,170,0,31
2010,4,10/3/2010 4:15:00 PM,ARI,SD,41,1,49,13,1,10,1,1,1,42,1,0,0,0,0,0,1,19,0,19,7,119,0,26
2010,4,10/3/2010 1:00:00 PM,ATL,SF,14,0,44,6,1,7,6,2,0,0,0,2,15,0,0,0,2,32,0,19,3,77,0,30
2010,4,10/3/2010 1:00:00 PM,BAL,PIT,14,0,34,19,2,15,5,0,0,0,0,1,2,0,0,0,3,19,0,10,3,55,0,22
2010,4,10/3/2010 1:00:00 PM,BUF,NYJ,38,0,58,34,0,0,6,0,0,0,0,0,0,0,0,0,4,50,0,26,6,110,0,29
2010,4,10/3/2010 1:00:00 PM,CAR,NO,16,0,63,12,2,13,8,3,2,0,0,0,0,0,0,0,2,19,0,13,5,142,0,46
2010,4,10/3/2010 8:20:00 PM,CHI,NYG,17,0,46,14,2,12,7,2,3,0,0,0,0,0,0,0,2,6,0,6,3,51,0,23
2010,4,10/3/2010 1:00:00 PM,CIN,CLE,23,0,47,18,1,5,3,1,0,-1,0,1,-3,0,0,0,3,2,0,5,5,47,0,16
2010,4,10/3/2010 1:00:00 PM,CLE,CIN,20,0,44,8,4,25,3,1,2,0,0,0,0,0,1,0,0,0,0,0,5,107,0,27
2010,4,10/3/2010 1:00:00 PM,DEN,TEN,20,0,38,13,2,6,2,1,2,1,0,0,0,0,0,0,4,36,0,14,4,144,0,65
2010,4,10/3/2010 1:00:00 PM,DET,GB,28,0,29,11,2,12,2,2,2,2,0,2,0,0,0,0,1,15,0,15,4,98,0,30
2010,4,10/3/2010 1:00:00 PM,GB,DET,26,1,54,15,3,23,8,1,1,0,0,2,60,1,0,0,1,11,0,11,7,124,0,24
2010,4,10/3/2010 4:05:00 PM,HOU,OAK,24,0,42,18,4,33,5,2,1,0,0,2,34,0,0,0,2,18,0,14,0,0,0,0
2010,4,10/3/2010 4:05:00 PM,IND,JAX,31,0,44,4,0,0,3,0,0,0,0,0,0,0,0,0,2,14,0,8,5,122,0,39
2010,4,10/3/2010 4:05:00 PM,JAX,IND,28,0,44,8,1,4,4,2,1,43,0,1,47,0,0,0,0,0,0,0,5,127,0,39
2010,4,10/4/2010 8:30:00 PM,MIA,NE,41,0,46,5,3,7,0,0,0,0,0,0,0,0,0,0,2,23,0,13,2,54,0,33
2010,4,10/4/2010 8:30:00 PM,NE,MIA,14,2,46,8,2,12,9,0,1,0,0,4,52,1,2,0,1,0,0,0,3,153,1,103
2010,4,10/3/2010 1:00:00 PM,NO,CAR,14,0,33,12,3,13,7,1,1,0,0,0,0,0,0,0,4,16,0,10,2,51,0,29
2010,4,10/3/2010 8:20:00 PM,NYG,CHI,3,0,43,12,10,63,5,3,1,-4,0,2,1,0,0,0,5,14,0,9,2,44,0,24
2010,4,10/3/2010 1:00:00 PM,NYJ,BUF,14,0,27,10,3,19,1,1,2,0,0,0,0,0,0,0,7,83,0,17,3,84,0,38
2010,4,10/3/2010 4:05:00 PM,OAK,HOU,31,0,38,14,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,4,4,99,0,64
2010,4,10/3/2010 4:15:00 PM,PHI,WAS,17,0,37,6,1,1,2,0,0,0,0,1,16,0,0,0,2,20,0,12,4,92,0,27
2010,4,10/3/2010 1:00:00 PM,PIT,BAL,17,0,39,29,1,6,6,2,2,0,0,1,0,0,0,0,2,4,0,4,2,45,0,25
2010,4,10/3/2010 4:15:00 PM,SD,ARI,10,1,38,8,9,59,8,1,1,10,0,2,31,1,0,0,3,19,0,13,2,51,0,30
2010,4,10/3/2010 1:00:00 PM,SEA,STL,20,0,53,5,4,28,3,0,0,0,0,1,0,0,0,0,3,18,0,18,4,92,0,30
2010,4,10/3/2010 1:00:00 PM,SF,ATL,16,0,56,8,3,14,5,0,1,-7,0,2,39,0,1,0,0,0,0,0,2,23,0,17
2010,4,10/3/2010 1:00:00 PM,STL,SEA,3,0,49,6,4,26,7,1,1,1,0,1,28,0,0,0,4,19,0,9,2,42,0,22
2010,4,10/3/2010 1:00:00 PM,TEN,DEN,26,1,57,16,6,34,6,1,0,0,0,1,9,0,0,0,1,9,0,9,6,187,1,98
2010,4,10/3/2010 4:15:00 PM,WAS,PHI,12,0,47,14,1,7,5,3,1,0,0,1,0,0,0,0,3,75,0,53,2,24,0,24